,0,text,polarity,subjectivity,sentiment,tokenized,nonstop,stemmed
10,"@F1 De Vries and Tsunoda ar Alpha Tauri, Ocon and Gasly at Alpine would be great. Schumacher needs to get out of the hell hole which is Haas and even it means a year out he can come back with a way better team in 24.",f de vries and tsunoda ar alpha tauri ocon and gasly at alpine would be great schumacher needs to get out of the hell hole which is haas and even it means a year out he can come back with a way better team in ,0.43333333333333335,0.4166666666666667,positive,"['f', 'de', 'vries', 'and', 'tsunoda', 'ar', 'alpha', 'tauri', 'ocon', 'and', 'gasly', 'at', 'alpine', 'would', 'be', 'great', 'schumacher', 'needs', 'to', 'get', 'out', 'of', 'the', 'hell', 'hole', 'which', 'is', 'haas', 'and', 'even', 'it', 'means', 'a', 'year', 'out', 'he', 'can', 'come', 'back', 'with', 'a', 'way', 'better', 'team', 'in', '']","['f', 'de', 'vries', 'tsunoda', 'ar', 'alpha', 'tauri', 'ocon', 'gasly', 'alpine', 'would', 'great', 'schumacher', 'needs', 'get', 'hell', 'hole', 'haas', 'even', 'means', 'year', 'come', 'back', 'way', 'better', 'team', '']","['f', 'de', 'vri', 'tsunoda', 'ar', 'alpha', 'tauri', 'ocon', 'gasli', 'alpin', 'would', 'great', 'schumach', 'need', 'get', 'hell', 'hole', 'haa', 'even', 'mean', 'year', 'come', 'back', 'way', 'better', 'team', '']"
11,@F1 @nyckdevries should take a year at Williams and when he smashes that out of the park move to Mercedes for 2024. Alpine and Alpha Tauri may want to give him a 2 year deal but there will be major movements in 2024 and he shouldn’t get tied to either of those two #F1,f nyckdevries should take a year at williams and when he smashes that out of the park move to mercedes for  alpine and alpha tauri may want to give him a  year deal but there will be major movements in  and he shouldn’t get tied to either of those two f,0.0625,0.5,positive,"['f', 'nyckdevries', 'should', 'take', 'a', 'year', 'at', 'williams', 'and', 'when', 'he', 'smashes', 'that', 'out', 'of', 'the', 'park', 'move', 'to', 'mercedes', 'for', 'alpine', 'and', 'alpha', 'tauri', 'may', 'want', 'to', 'give', 'him', 'a', 'year', 'deal', 'but', 'there', 'will', 'be', 'major', 'movements', 'in', 'and', 'he', 'shouldn', 't', 'get', 'tied', 'to', 'either', 'of', 'those', 'two', 'f']","['f', 'nyckdevries', 'take', 'year', 'williams', 'smashes', 'park', 'move', 'mercedes', 'alpine', 'alpha', 'tauri', 'may', 'want', 'give', 'year', 'deal', 'major', 'movements', 'get', 'tied', 'either', 'two', 'f']","['f', 'nyckdevri', 'take', 'year', 'william', 'smash', 'park', 'move', 'merced', 'alpin', 'alpha', 'tauri', 'may', 'want', 'give', 'year', 'deal', 'major', 'movement', 'get', 'tie', 'either', 'two', 'f']"
12,gasly why r u still at alpha tauri my boy 😭😭 https://t.co/8DtPHWtcNQ,gasly why r u still at alpha tauri my boy 😭😭 httpstcodtphwtcnq,0.0,0.0,neutral,"['gasly', 'why', 'r', 'u', 'still', 'at', 'alpha', 'tauri', 'my', 'boy', 'httpstcodtphwtcnq']","['gasly', 'r', 'u', 'still', 'alpha', 'tauri', 'boy', 'httpstcodtphwtcnq']","['gasli', 'r', 'u', 'still', 'alpha', 'tauri', 'boy', 'httpstcodtphwtcnq']"
13,"@F1 Schumi Jr. in Alfa Romeo, Gasly in Alpine, Giovinazzi in Haas, De Vries in Alpha Tauri and  Drugovich in Williams",f schumi jr in alfa romeo gasly in alpine giovinazzi in haas de vries in alpha tauri and  drugovich in williams,0.0,0.0,neutral,"['f', 'schumi', 'jr', 'in', 'alfa', 'romeo', 'gasly', 'in', 'alpine', 'giovinazzi', 'in', 'haas', 'de', 'vries', 'in', 'alpha', 'tauri', 'and', 'drugovich', 'in', 'williams']","['f', 'schumi', 'jr', 'alfa', 'romeo', 'gasly', 'alpine', 'giovinazzi', 'haas', 'de', 'vries', 'alpha', 'tauri', 'drugovich', 'williams']","['f', 'schumi', 'jr', 'alfa', 'romeo', 'gasli', 'alpin', 'giovinazzi', 'haa', 'de', 'vri', 'alpha', 'tauri', 'drugovich', 'william']"
14,@F1 Gasly staying with Alpha Tauri?,f gasly staying with alpha tauri,0.0,0.0,neutral,"['f', 'gasly', 'staying', 'with', 'alpha', 'tauri']","['f', 'gasly', 'staying', 'alpha', 'tauri']","['f', 'gasli', 'stay', 'alpha', 'tauri']"
15,"@F1 I think Mick will go to Williams, Nyck De Vries will go to alpha tauri, Pouchaire will join haas, gasly will go to alpine and Zhou stays at Alfa romeo",f i think mick will go to williams nyck de vries will go to alpha tauri pouchaire will join haas gasly will go to alpine and zhou stays at alfa romeo,0.0,0.0,positive,"['f', 'i', 'think', 'mick', 'will', 'go', 'to', 'williams', 'nyck', 'de', 'vries', 'will', 'go', 'to', 'alpha', 'tauri', 'pouchaire', 'will', 'join', 'haas', 'gasly', 'will', 'go', 'to', 'alpine', 'and', 'zhou', 'stays', 'at', 'alfa', 'romeo']","['f', 'think', 'mick', 'go', 'williams', 'nyck', 'de', 'vries', 'go', 'alpha', 'tauri', 'pouchaire', 'join', 'haas', 'gasly', 'go', 'alpine', 'zhou', 'stays', 'alfa', 'romeo']","['f', 'think', 'mick', 'go', 'william', 'nyck', 'de', 'vri', 'go', 'alpha', 'tauri', 'pouchair', 'join', 'haa', 'gasli', 'go', 'alpin', 'zhou', 'stay', 'alfa', 'romeo']"
16,"Good news here... now if we can keep Alpha Tauri from cheating for Red Ballz, we can have real racing!

https://t.co/AeUeCzNsv7","good news here now if we can keep alpha tauri from cheating for red ballz we can have real racing

httpstcoaeuecznsv",0.3,0.30000000000000004,negative,"['good', 'news', 'here', 'now', 'if', 'we', 'can', 'keep', 'alpha', 'tauri', 'from', 'cheating', 'for', 'red', 'ballz', 'we', 'can', 'have', 'real', 'racing', 'httpstcoaeuecznsv']","['good', 'news', 'keep', 'alpha', 'tauri', 'cheating', 'red', 'ballz', 'real', 'racing', 'httpstcoaeuecznsv']","['good', 'news', 'keep', 'alpha', 'tauri', 'cheat', 'red', 'ballz', 'real', 'race', 'httpstcoaeuecznsv']"
17,"GOOD!! IMO Red Bull/Alpha Tauri wanted to make this move because Herta is an American. Because on talent alone, ALEX PALOU is the best prospect in INDYCAR to make the jump to F1.

https://t.co/VTEtMD8L6X via @motorsport","good imo red bullalpha tauri wanted to make this move because herta is an american because on talent alone alex palou is the best prospect in indycar to make the jump to f

httpstcovtetmdlx via motorsport",0.425,0.22500000000000003,positive,"['good', 'imo', 'red', 'bullalpha', 'tauri', 'wanted', 'to', 'make', 'this', 'move', 'because', 'herta', 'is', 'an', 'american', 'because', 'on', 'talent', 'alone', 'alex', 'palou', 'is', 'the', 'best', 'prospect', 'in', 'indycar', 'to', 'make', 'the', 'jump', 'to', 'f', 'httpstcovtetmdlx', 'via', 'motorsport']","['good', 'imo', 'red', 'bullalpha', 'tauri', 'wanted', 'make', 'move', 'herta', 'american', 'talent', 'alone', 'alex', 'palou', 'best', 'prospect', 'indycar', 'make', 'jump', 'f', 'httpstcovtetmdlx', 'via', 'motorsport']","['good', 'imo', 'red', 'bullalpha', 'tauri', 'want', 'make', 'move', 'herta', 'american', 'talent', 'alon', 'alex', 'palou', 'best', 'prospect', 'indycar', 'make', 'jump', 'f', 'httpstcovtetmdlx', 'via', 'motorsport']"
18,"@wbuxtonofficial I don’t understand where Lawson fits in. There seems to be a desire to look outside the young drivers prog. at Alpha Tauri, when AT are clearly prepping Liam for a seat. He’s arguably just as good as Nyck dV, Doohan, Schumacher and is only one COVID case away from an F1 start.",wbuxtonofficial i don’t understand where lawson fits in there seems to be a desire to look outside the young drivers prog at alpha tauri when at are clearly prepping liam for a seat he’s arguably just as good as nyck dv doohan schumacher and is only one covid case away from an f start,0.18,0.4866666666666667,positive,"['wbuxtonofficial', 'i', 'don', 't', 'understand', 'where', 'lawson', 'fits', 'in', 'there', 'seems', 'to', 'be', 'a', 'desire', 'to', 'look', 'outside', 'the', 'young', 'drivers', 'prog', 'at', 'alpha', 'tauri', 'when', 'at', 'are', 'clearly', 'prepping', 'liam', 'for', 'a', 'seat', 'he', 's', 'arguably', 'just', 'as', 'good', 'as', 'nyck', 'dv', 'doohan', 'schumacher', 'and', 'is', 'only', 'one', 'covid', 'case', 'away', 'from', 'an', 'f', 'start']","['wbuxtonofficial', 'understand', 'lawson', 'fits', 'seems', 'desire', 'look', 'outside', 'young', 'drivers', 'prog', 'alpha', 'tauri', 'clearly', 'prepping', 'liam', 'seat', 'arguably', 'good', 'nyck', 'dv', 'doohan', 'schumacher', 'one', 'covid', 'case', 'away', 'f', 'start']","['wbuxtonoffici', 'understand', 'lawson', 'fit', 'seem', 'desir', 'look', 'outsid', 'young', 'driver', 'prog', 'alpha', 'tauri', 'clearli', 'prep', 'liam', 'seat', 'arguabl', 'good', 'nyck', 'dv', 'doohan', 'schumach', 'one', 'covid', 'case', 'away', 'f', 'start']"
19,"@vinot_jr @MattyWTF1 Two years now they are called Alpha Tauri, do you even watch F1?",vinotjr mattywtf two years now they are called alpha tauri do you even watch f,0.0,0.0,neutral,"['vinotjr', 'mattywtf', 'two', 'years', 'now', 'they', 'are', 'called', 'alpha', 'tauri', 'do', 'you', 'even', 'watch', 'f']","['vinotjr', 'mattywtf', 'two', 'years', 'called', 'alpha', 'tauri', 'even', 'watch', 'f']","['vinotjr', 'mattywtf', 'two', 'year', 'call', 'alpha', 'tauri', 'even', 'watch', 'f']"
20,"I would love to see @PierreGASLY to Alpine, @nyckdevries to Williams, and @danielricciardo to Alpha Tauri . #F1",i would love to see pierregasly to alpine nyckdevries to williams and danielricciardo to alpha tauri  f,0.5,0.6,positive,"['i', 'would', 'love', 'to', 'see', 'pierregasly', 'to', 'alpine', 'nyckdevries', 'to', 'williams', 'and', 'danielricciardo', 'to', 'alpha', 'tauri', 'f']","['would', 'love', 'see', 'pierregasly', 'alpine', 'nyckdevries', 'williams', 'danielricciardo', 'alpha', 'tauri', 'f']","['would', 'love', 'see', 'pierregasli', 'alpin', 'nyckdevri', 'william', 'danielricciardo', 'alpha', 'tauri', 'f']"
21,@F1 You put Pedro Gaseoso still Alpha Tauri? https://t.co/qUSvKi8zmE,f you put pedro gaseoso still alpha tauri httpstcoqusvkizme,0.0,0.0,neutral,"['f', 'you', 'put', 'pedro', 'gaseoso', 'still', 'alpha', 'tauri', 'httpstcoqusvkizme']","['f', 'put', 'pedro', 'gaseoso', 'still', 'alpha', 'tauri', 'httpstcoqusvkizme']","['f', 'put', 'pedro', 'gaseoso', 'still', 'alpha', 'tauri', 'httpstcoqusvkizm']"
22,"Not the most realistic but:

Alpha Tauri - De Vries 
Alfa Romeo - Zhou 
Williams - Vandoorne 
Alpine - Gasly 
Haas - Ricciardo https://t.co/i7jotImWe5","not the most realistic but

alpha tauri  de vries 
alfa romeo  zhou 
williams  vandoorne 
alpine  gasly 
haas  ricciardo httpstcoijotimwe",0.3333333333333333,0.41666666666666663,neutral,"['not', 'the', 'most', 'realistic', 'but', 'alpha', 'tauri', 'de', 'vries', 'alfa', 'romeo', 'zhou', 'williams', 'vandoorne', 'alpine', 'gasly', 'haas', 'ricciardo', 'httpstcoijotimwe']","['realistic', 'alpha', 'tauri', 'de', 'vries', 'alfa', 'romeo', 'zhou', 'williams', 'vandoorne', 'alpine', 'gasly', 'haas', 'ricciardo', 'httpstcoijotimwe']","['realist', 'alpha', 'tauri', 'de', 'vri', 'alfa', 'romeo', 'zhou', 'william', 'vandoorn', 'alpin', 'gasli', 'haa', 'ricciardo', 'httpstcoijotimw']"
23,"Because F1 Twitter is doing it, and I want a record for when I'm right, here's my remaining seat predictions. 

Alfa Romeo - Bottas / Zhou
Alpha Tauri - Tsunoda / De Vries 
Haas - KMag/ Giovinazzi ( I'm manifesting Ricciardo🤞)
Alpine - Ocon / Gasly
Williams - Albon / Sargeant","because f twitter is doing it and i want a record for when im right heres my remaining seat predictions 

alfa romeo  bottas  zhou
alpha tauri  tsunoda  de vries 
haas  kmag giovinazzi  im manifesting ricciardo🤞
alpine  ocon  gasly
williams  albon  sargeant",0.2857142857142857,0.5357142857142857,positive,"['because', 'f', 'twitter', 'is', 'doing', 'it', 'and', 'i', 'want', 'a', 'record', 'for', 'when', 'im', 'right', 'heres', 'my', 'remaining', 'seat', 'predictions', 'alfa', 'romeo', 'bottas', 'zhou', 'alpha', 'tauri', 'tsunoda', 'de', 'vries', 'haas', 'kmag', 'giovinazzi', 'im', 'manifesting', 'ricciardo', 'alpine', 'ocon', 'gasly', 'williams', 'albon', 'sargeant']","['f', 'twitter', 'want', 'record', 'im', 'right', 'heres', 'remaining', 'seat', 'predictions', 'alfa', 'romeo', 'bottas', 'zhou', 'alpha', 'tauri', 'tsunoda', 'de', 'vries', 'haas', 'kmag', 'giovinazzi', 'im', 'manifesting', 'ricciardo', 'alpine', 'ocon', 'gasly', 'williams', 'albon', 'sargeant']","['f', 'twitter', 'want', 'record', 'im', 'right', 'here', 'remain', 'seat', 'predict', 'alfa', 'romeo', 'botta', 'zhou', 'alpha', 'tauri', 'tsunoda', 'de', 'vri', 'haa', 'kmag', 'giovinazzi', 'im', 'manifest', 'ricciardo', 'alpin', 'ocon', 'gasli', 'william', 'albon', 'sargeant']"
24,@vefu_ @F1 They’ll ask Alpha Tauri! 🦦,vefu f they’ll ask alpha tauri 🦦,0.0,0.0,neutral,"['vefu', 'f', 'they', 'll', 'ask', 'alpha', 'tauri', '']","['vefu', 'f', 'ask', 'alpha', 'tauri', '']","['vefu', 'f', 'ask', 'alpha', 'tauri', '']"
25,"@AlphaTauriF1 Shit man what am I gonna do with my Alpha Tauri F1 car, Pierre Gasly, and pit lane now ffs",alphataurif shit man what am i gonna do with my alpha tauri f car pierre gasly and pit lane now ffs,-0.2,0.8,negative,"['alphataurif', 'shit', 'man', 'what', 'am', 'i', 'gonna', 'do', 'with', 'my', 'alpha', 'tauri', 'f', 'car', 'pierre', 'gasly', 'and', 'pit', 'lane', 'now', 'ffs']","['alphataurif', 'shit', 'man', 'gonna', 'alpha', 'tauri', 'f', 'car', 'pierre', 'gasly', 'pit', 'lane', 'ffs']","['alphataurif', 'shit', 'man', 'gonna', 'alpha', 'tauri', 'f', 'car', 'pierr', 'gasli', 'pit', 'lane', 'ff']"
26,"@borosbertiii @WBlackwell72 @F1 Charles is Gasly's best friend, they know other since they are 6 years old. And on what planet is Alpine à worse team than Alpha Tauri ??? They are probably the worst car on the grid atm, Renault, a factory team with much bigger ressources are the 4th best team",borosbertiii wblackwell f charles is gaslys best friend they know other since they are  years old and on what planet is alpine à worse team than alpha tauri  they are probably the worst car on the grid atm renault a factory team with much bigger ressources are the th best team,0.08214285714285714,0.46785714285714286,positive,"['borosbertiii', 'wblackwell', 'f', 'charles', 'is', 'gaslys', 'best', 'friend', 'they', 'know', 'other', 'since', 'they', 'are', 'years', 'old', 'and', 'on', 'what', 'planet', 'is', 'alpine', 'à', 'worse', 'team', 'than', 'alpha', 'tauri', 'they', 'are', 'probably', 'the', 'worst', 'car', 'on', 'the', 'grid', 'atm', 'renault', 'a', 'factory', 'team', 'with', 'much', 'bigger', 'ressources', 'are', 'the', 'th', 'best', 'team']","['borosbertiii', 'wblackwell', 'f', 'charles', 'gaslys', 'best', 'friend', 'know', 'since', 'years', 'old', 'planet', 'alpine', 'à', 'worse', 'team', 'alpha', 'tauri', 'probably', 'worst', 'car', 'grid', 'atm', 'renault', 'factory', 'team', 'much', 'bigger', 'ressources', 'th', 'best', 'team']","['borosbertiii', 'wblackwel', 'f', 'charl', 'gasli', 'best', 'friend', 'know', 'sinc', 'year', 'old', 'planet', 'alpin', 'à', 'wors', 'team', 'alpha', 'tauri', 'probabl', 'worst', 'car', 'grid', 'atm', 'renault', 'factori', 'team', 'much', 'bigger', 'ressourc', 'th', 'best', 'team']"
27,"@AlphaTauriF1 No worries, i always leave my Alpha Tauri F1 parked at the office 🤝",alphataurif no worries i always leave my alpha tauri f parked at the office 🤝,0.0,0.0,negative,"['alphataurif', 'no', 'worries', 'i', 'always', 'leave', 'my', 'alpha', 'tauri', 'f', 'parked', 'at', 'the', 'office', '']","['alphataurif', 'worries', 'always', 'leave', 'alpha', 'tauri', 'f', 'parked', 'office', '']","['alphataurif', 'worri', 'alway', 'leav', 'alpha', 'tauri', 'f', 'park', 'offic', '']"
28,@JackClay010298 @BillyMoulding @F1 Alpha tauri has already announced there drivers contracts for next year are people missing this ?,jackclay billymoulding f alpha tauri has already announced there drivers contracts for next year are people missing this ,-0.1,0.025,negative,"['jackclay', 'billymoulding', 'f', 'alpha', 'tauri', 'has', 'already', 'announced', 'there', 'drivers', 'contracts', 'for', 'next', 'year', 'are', 'people', 'missing', 'this', '']","['jackclay', 'billymoulding', 'f', 'alpha', 'tauri', 'already', 'announced', 'drivers', 'contracts', 'next', 'year', 'people', 'missing', '']","['jackclay', 'billymould', 'f', 'alpha', 'tauri', 'alreadi', 'announc', 'driver', 'contract', 'next', 'year', 'peopl', 'miss', '']"
29,"2023 Grid 

Redbull: Verstappen - Perez
Ferrari: Leclerc - Sainz
Mercedes: Hamilton - Russell
Mclaren: Norris - Piastri
Alfa Romeo: Bottas - Zhou
Alpine: Gasly - Ocon
Alpha Tauri: Mick - Tsunoda
Haas: Magnussen - Ricciardo
Aston Martin: Stroll - Alonso
Williams: Albon - De Vries https://t.co/HRofhwAyM5"," grid 

redbull verstappen  perez
ferrari leclerc  sainz
mercedes hamilton  russell
mclaren norris  piastri
alfa romeo bottas  zhou
alpine gasly  ocon
alpha tauri mick  tsunoda
haas magnussen  ricciardo
aston martin stroll  alonso
williams albon  de vries httpstcohrofhwaym",0.0,0.0,neutral,"['', 'grid', 'redbull', 'verstappen', 'perez', 'ferrari', 'leclerc', 'sainz', 'mercedes', 'hamilton', 'russell', 'mclaren', 'norris', 'piastri', 'alfa', 'romeo', 'bottas', 'zhou', 'alpine', 'gasly', 'ocon', 'alpha', 'tauri', 'mick', 'tsunoda', 'haas', 'magnussen', 'ricciardo', 'aston', 'martin', 'stroll', 'alonso', 'williams', 'albon', 'de', 'vries', 'httpstcohrofhwaym']","['', 'grid', 'redbull', 'verstappen', 'perez', 'ferrari', 'leclerc', 'sainz', 'mercedes', 'hamilton', 'russell', 'mclaren', 'norris', 'piastri', 'alfa', 'romeo', 'bottas', 'zhou', 'alpine', 'gasly', 'ocon', 'alpha', 'tauri', 'mick', 'tsunoda', 'haas', 'magnussen', 'ricciardo', 'aston', 'martin', 'stroll', 'alonso', 'williams', 'albon', 'de', 'vries', 'httpstcohrofhwaym']","['', 'grid', 'redbul', 'verstappen', 'perez', 'ferrari', 'leclerc', 'sainz', 'merced', 'hamilton', 'russel', 'mclaren', 'norri', 'piastri', 'alfa', 'romeo', 'botta', 'zhou', 'alpin', 'gasli', 'ocon', 'alpha', 'tauri', 'mick', 'tsunoda', 'haa', 'magnussen', 'ricciardo', 'aston', 'martin', 'stroll', 'alonso', 'william', 'albon', 'de', 'vri', 'httpstcohrofhwaym']"
30,@F1 Gasly confirmed in Alpha Tauri?,f gasly confirmed in alpha tauri,0.4,1.0,neutral,"['f', 'gasly', 'confirmed', 'in', 'alpha', 'tauri']","['f', 'gasly', 'confirmed', 'alpha', 'tauri']","['f', 'gasli', 'confirm', 'alpha', 'tauri']"
31,@AlphaTauriF1 @F1 I swear alpha tauri spends more time editing video effects then working on fixing that car,alphataurif f i swear alpha tauri spends more time editing video effects then working on fixing that car,0.5,0.5,negative,"['alphataurif', 'f', 'i', 'swear', 'alpha', 'tauri', 'spends', 'more', 'time', 'editing', 'video', 'effects', 'then', 'working', 'on', 'fixing', 'that', 'car']","['alphataurif', 'f', 'swear', 'alpha', 'tauri', 'spends', 'time', 'editing', 'video', 'effects', 'working', 'fixing', 'car']","['alphataurif', 'f', 'swear', 'alpha', 'tauri', 'spend', 'time', 'edit', 'video', 'effect', 'work', 'fix', 'car']"
